group,liveCell,ImmuneCell,Tc,NK,Neutrophil,NKT,Th,CD3,TcellInLiveCell,TcellInImmuneCell,CD8OverCD3,CD8InLiveCell,treatmemt
ctrl1,50380,10000,350,107,2573,341,386,727,0.021377531,0.1077,0.481430536,0.006947201,PBS
PD11,245259,6046,579,37,584,377,109,486,0.004342348,0.17614952,1.191358025,0.00236077,PDL1
ctrl2,102391,10000,2482,58,197,448,421,869,0.032727486,0.3351,2.856156502,0.024240412,PBS
PD12,151012,2205,428,117,45,302,357,659,0.007198103,0.492970522,0.649468892,0.002834212,PDL1
ctrl3,66908,4574,141,40,2299,109,139,248,0.005813953,0.085045912,0.568548387,0.002107371,PBS
PD13,328522,10000,503,74,4752,538,310,848,0.004112358,0.1351,0.593160377,0.0015311,PDL1
ctrl4,970639,10000,1597,329,817,586,742,1328,0.003013479,0.2925,1.202560241,0.001645308,PBS
PD14,658271,10000,1564,251,102,669,822,1491,0.004640946,0.3055,1.048960429,0.002375921,PDL1
ctrl5,22592,1960,305,20,128,297,51,348,0.028904037,0.333163265,0.876436782,0.013500354,PBS
PD15,38291,10000,382,206,5060,598,268,866,0.032592515,0.1248,0.441108545,0.009976235,PDL1
ctrl6,63247,3547,304,36,985,112,77,189,0.007794836,0.138990696,1.608465608,0.004806552,PBS
PD16,262961,10000,653,82,4958,256,192,448,0.004186933,0.1101,1.457589286,0.002483258,PDL1
ctrl7,513212,10000,745,231,1503,342,3507,3849,0.008951466,0.4594,0.193556768,0.001451642,PBS
PD17,69458,10000,1782,181,152,1280,203,1483,0.047006824,0.3265,1.201618341,0.025655792,PDL1
ctrl8,63777,10000,292,159,3518,504,187,691,0.01541308,0.0983,0.422575977,0.004578453,PBS
PD18,618040,10000,768,69,3630,468,336,804,0.002543525,0.1572,0.955223881,0.001242638,PDL1
