group,liveCell,ImmuneCell,Tc,Tc,NK,NK,Neutrophil,Neutrophil,NKT,NKT,Th,Th,CD3,CD3,TcellInLiveCell,TcellInImmuneCell,CD8OverCD3,CD8InLiveCell,treatmemt
ctrl1,50380,10000,350,3.5,107,1.07,2573,25.73,341,3.41,386,3.86,727,7.27,0.021377531,0.1077,0.481430536,0.006947201,PBS
PD11,245259,6046,579,9.576579557,37,0.611974859,584,9.659278862,377,6.235527622,109,1.802844856,486,8.038372478,0.004342348,0.17614952,1.191358025,0.00236077,PDL1
ctrl2,102391,10000,2482,24.82,58,0.58,197,1.97,448,4.48,421,4.21,869,8.69,0.032727486,0.3351,2.856156502,0.024240412,PBS
PD12,151012,2205,428,19.41043084,117,5.306122449,45,2.040816327,302,13.69614512,357,16.19047619,659,29.88662132,0.007198103,0.492970522,0.649468892,0.002834212,PDL1
ctrl3,66908,4574,141,3.082641014,40,0.874508089,2299,50.26235243,109,2.383034543,139,3.03891561,248,5.421950153,0.005813953,0.085045912,0.568548387,0.002107371,PBS
PD13,328522,10000,503,5.03,74,0.74,4752,47.52,538,5.38,310,3.1,848,8.48,0.004112358,0.1351,0.593160377,0.0015311,PDL1
ctrl4,970639,10000,1597,15.97,329,3.29,817,8.17,586,5.86,742,7.42,1328,13.28,0.003013479,0.2925,1.202560241,0.001645308,PBS
PD14,658271,10000,1564,15.64,251,2.51,102,1.02,669,6.69,822,8.22,1491,14.91,0.004640946,0.3055,1.048960429,0.002375921,PDL1
ctrl5,22592,1960,305,15.56122449,20,1.020408163,128,6.530612245,297,15.15306122,51,2.602040816,348,17.75510204,0.028904037,0.333163265,0.876436782,0.013500354,PBS
PD15,38291,10000,382,3.82,206,2.06,5060,50.6,598,5.98,268,2.68,866,8.66,0.032592515,0.1248,0.441108545,0.009976235,PDL1
ctrl6,63247,3547,304,8.570623062,36,1.014942205,985,27.76994643,112,3.15759797,77,2.170848604,189,5.328446575,0.007794836,0.138990696,1.608465608,0.004806552,PBS
PD16,262961,10000,653,6.53,82,0.82,4958,49.58,256,2.56,192,1.92,448,4.48,0.004186933,0.1101,1.457589286,0.002483258,PDL1
ctrl7,513212,10000,745,7.45,231,2.31,1503,15.03,342,3.42,3507,35.07,3849,38.49,0.008951466,0.4594,0.193556768,0.001451642,PBS
PD17,69458,10000,1782,17.82,181,1.81,152,1.52,1280,12.8,203,2.03,1483,14.83,0.047006824,0.3265,1.201618341,0.025655792,PDL1
ctrl8,63777,10000,292,2.92,159,1.59,3518,35.18,504,5.04,187,1.87,691,6.91,0.01541308,0.0983,0.422575977,0.004578453,PBS
PD18,618040,10000,768,7.68,69,0.69,3630,36.3,468,4.68,336,3.36,804,8.04,0.002543525,0.1572,0.955223881,0.001242638,PDL1
